Query_ID	Doc_ID	Rank	Score
1	879	1	0.14478527856982745
1	51	2	0.1166200771786817
1	12	3	0.10225961523385395
1	359	4	0.10221322879551466
1	184	5	0.08992189819542225
1	486	6	0.08567917963327895
1	878	7	0.08375121697163371
1	5	8	0.08199220719299682
1	429	9	0.07079610077161401
1	875	10	0.06673699061415894
1	102	11	0.06633352743733842
1	141	12	0.06572150652762317
1	13	13	0.06478228216583899
1	817	14	0.06372823747166544
1	327	15	0.06283214217159168
1	378	16	0.061003703069292356
1	578	17	0.060605319220167
1	874	18	0.059291657932510594
1	56	19	0.055335818158660094
1	884	20	0.05403962969297029
2	12	1	0.16989951347495064
2	884	2	0.11805033286358577
2	51	3	0.10510201921818915
2	429	4	0.08715763389995218
2	834	5	0.08656425065344453
2	578	6	0.08345952422482984
2	1169	7	0.08326074087984447
2	746	8	0.07716799234121408
2	875	9	0.07103887863220956
2	141	10	0.06675934160093887
2	1042	11	0.06522280527749955
2	100	12	0.06192443427003174
2	607	13	0.060888725279306555
2	862	14	0.05992373517187115
2	724	15	0.059729527137018554
2	909	16	0.059727096209977765
2	92	17	0.05953131815875831
2	1170	18	0.05865625297199963
2	320	19	0.05759259661175037
2	835	20	0.05739966385864579
3	5	1	0.2125358771905454
3	485	2	0.20835420109941305
3	181	3	0.13686853716886457
3	144	4	0.1265072020114525
3	399	5	0.12337324712296385
3	90	6	0.09711728698829021
3	582	7	0.09595823466147554
3	91	8	0.07478685693223411
3	509	9	0.06982105976178563
3	281	10	0.06830395015362016
3	350	11	0.06366774280998042
3	6	12	0.06217219836112004
3	320	13	0.05759259661175037
3	1073	14	0.05564999091093023
3	607	15	0.05450170006831519
3	398	16	0.05432772318255174
3	542	17	0.053871738153347594
3	407	18	0.053847293728542245
3	158	19	0.05233545139978521
3	269	20	0.049377111204103506
4	1275	1	0.1114246301674313
4	488	2	0.10633514483568555
4	1085	3	0.10585557172244373
4	167	4	0.09428793131782087
4	166	5	0.09404750387846618
4	1312	6	0.08800216079078779
4	1189	7	0.08247473859587262
4	236	8	0.08016057034685452
4	1010	9	0.0769317962345551
4	38	10	0.07330137485712651
4	1286	11	0.07191524429262916
4	185	12	0.07077720057904424
4	1374	13	0.06851034165217504
4	317	14	0.06823714833550681
4	437	15	0.06616623043338421
