Query_ID	Doc_ID	Rank	Score
1	257	1	0.08151800494486351
1	268	2	0.07642658672895014
1	323	3	0.075557027269786
1	308	4	0.07345762181792666
1	288	5	0.06115356778794726
1	304	6	0.059359290688641334
1	370	7	0.05752417486253506
1	376	8	0.05679431559050684
1	326	9	0.05599525185833666
1	171	10	0.04873903388996651
1	406	11	0.04859925349285158
1	334	12	0.04407723999122172
1	419	13	0.040925230983905866
1	349	14	0.03876842163016478
1	383	15	0.038589064892872414
1	359	16	0.03850376500584011
1	350	17	0.03811041359329485
1	364	18	0.03604098437344534
1	395	19	0.03584652365509976
1	3	20	0.035041306795409996
2	419	1	0.07090299092225563
2	383	2	0.05864130605580405
2	171	3	0.058151652150882555
2	268	4	0.0557922449140001
2	323	5	0.05557705496048772
2	304	6	0.05242922191259315
2	350	7	0.05207634345876046
2	334	8	0.05118366445726851
2	30	9	0.0508608316450961
2	370	10	0.05021386728173743
2	154	11	0.047312001722527655
2	211	12	0.04713760214648728
2	376	13	0.04607353166714804
2	326	14	0.04507643133859981
2	257	15	0.044970338358019474
2	349	16	0.043835241695327216
2	395	17	0.04371598988365366
2	29	18	0.042674807714600825
2	384	19	0.040848239580677966
2	308	20	0.0397936216389292
3	423	1	0.0822888391224677
3	419	2	0.08026682735638421
3	29	3	0.0727020164116006
3	211	4	0.0703715893711935
3	12	5	0.07006768621841232
3	350	6	0.06981957942253157
3	383	7	0.0677828483848369
3	106	8	0.06723739259440169
3	154	9	0.066123152447922
3	36	10	0.06511462534615736
3	171	11	0.06403396248648331
3	316	12	0.06366535972988464
3	349	13	0.05920407507495217
3	308	14	0.05792240828909533
3	407	15	0.05760144237534255
3	63	16	0.056959478764182406
3	257	17	0.05692407977448298
3	259	18	0.05688140107984212
3	334	19	0.0564558200637858
3	364	20	0.05628573359981703
4	419	1	0.09783459765543286
4	383	2	0.07806352597150226
4	350	3	0.07742414403199402
4	171	4	0.0735812063102467
4	211	5	0.07301783161432485
4	268	6	0.06937600661164478
4	257	7	0.06345741200519243
4	308	8	0.0632764607753319
4	334	9	0.06172886917400936
4	304	10	0.061602384615274834
4	29	11	0.06119559124164583
4	395	12	0.058949100489612626
4	370	13	0.058333928743050996
4	349	14	0.05749505329483841
4	376	15	0.05679108297220424
4	323	16	0.05671206025178262
4	288	17	0.05667330843690412
4	12	18	0.055815191413964384
4	326	19	0.05473501141751944
4	30	20	0.053373354418855844
5	419	1	0.05715642519488168
5	383	2	0.05133680274662109
5	350	3	0.04995846361731149
5	211	4	0.04645932365705132
5	106	5	0.04475479514446446
5	12	6	0.04470130569680951
5	395	7	0.044080566669616655
5	29	8	0.043742709972230114
5	171	9	0.04219646803214457
5	349	10	0.041733897224132364
5	386	11	0.04035217943883463
5	268	12	0.039977715522120844
5	259	13	0.03987887842273982
5	154	14	0.039194379594979324
5	30	15	0.03898175965989388
5	407	16	0.03831450526344323
5	257	17	0.03830998517853575
5	304	18	0.037578300888203804
5	252	19	0.03710269038035795
5	308	20	0.03698010397725738
6	323	1	0.09735133032349218
6	308	2	0.086133483661787
6	268	3	0.076789394366256
6	257	4	0.07313369426865719
6	419	5	0.0701641309514828
6	288	6	0.06641447686740154
6	154	7	0.06601530508340761
6	324	8	0.06256324853276124
6	304	9	0.06209245325825449
6	211	10	0.061035899069692874
6	326	11	0.058435798885685473
6	29	12	0.057213040922251435
6	30	13	0.0561406726631977
6	259	14	0.054131875281753235
6	383	15	0.053578831843551465
6	350	16	0.052913311757521994
6	395	17	0.051671532519698665
6	334	18	0.05136815281428268
6	171	19	0.050476674927158016
6	106	20	0.04826094567143919
7	421	1	0.0914027804769663
7	406	2	0.08750080998735538
7	384	3	0.07202530991731115
7	49	4	0.06525428492397131
7	87	5	0.06027825383786019
7	239	6	0.055614568436026836
7	107	7	0.05336984702619403
7	153	8	0.04705469031048877
7	169	9	0.04136080240689803
7	414	10	0.039998995108387767
7	226	11	0.039257845082409114
7	423	12	0.03657769015527507
7	413	13	0.03616145401137849
7	11	14	0.03560072802657495
7	50	15	0.03545801229384121
7	346	16	0.03441639362182933
7	327	17	0.03432776097590759
7	341	18	0.03428309424076393
7	42	19	0.034280320960650056
7	140	20	0.03424988150344816
8	339	1	0.13756100116329398
8	358	2	0.13522485901352724
8	61	3	0.09677400502231673
8	423	4	0.07848700992601262
8	155	5	0.0780730879453904
8	269	6	0.07532783141566746
8	303	7	0.07171777113395808
8	36	8	0.06893557949552404
8	242	9	0.06693033469180537
8	11	10	0.06556165821503376
8	5	11	0.06421066840730418
8	344	12	0.06295971972146819
8	342	13	0.06125151428455873
8	156	14	0.058441417196137775
8	212	15	0.057754732204595274
8	63	16	0.05252231541583513
8	195	17	0.05200949893951971
8	50	18	0.05080288306471515
8	356	19	0.050794964498568164
8	25	20	0.050571087264215026
